    ,URL                               ,Company
 39 ,www.creamwhip.com.au              ,"{'name': 'Keith Merkel', 'organization': 'Mornington Marketing', 'rawText': 'Registrant Contact Name: Keith Merkel'}"
 97 ,www.canistro.com.au               ,"{'name': 'Kunal goyal', 'organization': 'MASON ONLINE PROPRIETARY LTD', 'rawText': 'Registrant Contact Name: Kunal goyal'}"
 60 ,www.supremewhip.com.au            ,"{'name': 'Michael Banks', 'organization': 'COMMERCE ENTERPRISES PTY. LTD.', 'rawText': 'Registrant Contact Name: Michael Banks'}"
 44 ,www.miamimagic.com.au             ,"{'name': 'Michael Banks', 'organization': 'COMMERCE ENTERPRISES PTY. LTD.', 'rawText': 'Registrant Contact Name: Michael Banks'}"
 56 ,www.quickwhip.com.au              ,"{'name': 'Michael Banks', 'organization': 'COMMERCE ENTERPRISES PTY. LTD.', 'rawText': 'Registrant Contact Name: Michael Banks'}"
 64 ,aussiewhip.com.au                 ,"{'name': 'NOBODY SOMEBODY', 'organization': 'The Trustee for Temasek Holdings Trust', 'rawText': 'Registrant Contact Name: NOBODY SOMEBODY'}"
 74 ,mrcreamchargers.com.au            ,"{'name': 'Nigel Abery', 'organization': 'A.C.N. 169 714 194 PTY LTD', 'rawText': 'Registrant Contact Name: Nigel Abery'}"
 91 ,nitrousoxidecreamchargers.com.au  ,"{'name': 'Nigel Abery', 'organization': 'A.C.N. 169 714 194 PTY LTD', 'rawText': 'Registrant Contact Name: Nigel Abery'}"
 92 ,noscreamchargers.com.au           ,"{'name': 'Nigel Abery', 'organization': 'A.C.N. 169 714 194 PTY LTD', 'rawText': 'Registrant Contact Name: Nigel Abery'}"
 88 ,nangsta.com.au                    ,"{'name': 'Nigel Abery', 'organization': 'A.C.N. 169 714 194 PTY LTD', 'rawText': 'Registrant Contact Name: Nigel Abery'}"
 75 ,n2ocreamchargers.com.au           ,"{'name': 'Nigel Abery', 'organization': 'A.C.N. 169 714 194 PTY LTD', 'rawText': 'Registrant Contact Name: Nigel Abery'}"
 79 ,nangdeliverymelbourne.com.au      ,"{'name': 'Nigel Abery', 'organization': 'A.C.N. 169 714 194 PTY LTD', 'rawText': 'Registrant Contact Name: Nigel Abery'}"
 17 ,nangs.net.au                      ,"{'name': 'Nigel Abery', 'organization': 'A.C.N. 169 714 194 PTY LTD', 'rawText': 'Registrant Contact Name: Nigel Abery'}"
 78 ,nangdelivery.net.au               ,"{'name': 'Nigel Abery', 'organization': 'A.C.N. 169 714 194 PTY LTD', 'rawText': 'Registrant Contact Name: Nigel Abery'}"
